movie,processed_movie,expanded-genres,Associated Music Genres
   A Scanner Darkly (2006),a scanner darkly,"Animation, Comedy, Crime","reggae,dubstep,trap,drum-and-bass,grime,hip-hop,electronic"
   The Old Man & the Gun,the old man & the gun,"Biography, Comedy, Crime","acoustic,country,folk,reggae,dubstep,pop,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,electronic,indie"
   Elisa & Marcela (2019),elisa & marcela,"Biography, Drama, Romance","acoustic,country,folk,piano,pop,romantic,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   MAMA (2013),mama,"Fantasy, Horror, Thriller","darkwave,folk,ambient,chill,dubstep,metal,soundtrack,epic-fantasy,synthwave,drum-and-bass,noise,alternative,dark-ambient,world-music,electronic,rock,industrial"
   Plus One (2019),plus one,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Counselor,the counselor,"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   La Belle Époque (2019),la belle époque,"Comedy, Drama, Fantasy","acoustic,piano,folk,ambient,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,world-music,indie"
   Agora,agora,"Adventure, Biography, Drama","acoustic,indie,folk,ambient,country,piano,pop,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Green Room,green room,"Crime, Drama, Horror","piano,indie-pop,darkwave,dubstep,singer-songwriter,grime,noise,dark-ambient,acoustic,reggae,ambient,trap,metal,electronic,alternative,drum-and-bass,hip-hop,rock,indie,industrial"
   Ice Princess (2005),ice princess,"Comedy, Drama, Family","acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
   Molly Maxwell (2013),molly maxwell,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   My Name Is Khan,my name is khan,Action,"punk,dubstep,hard-rock,drum-and-bass,rock,metal,electronic"
   M (1931),m,"Crime, Mystery, Thriller","chill,reggae,ambient,dubstep,synthwave,trap,downtempo,drum-and-bass,grime,hip-hop,dark-ambient,trip-hop,electronic"
   Day of Anger (i Giorni dell'ira; 1967),day of anger,"Action, Western","acoustic,country,folk,punk,dubstep,hard-rock,bluegrass,blues,alternative,drum-and-bass,rock,metal,electronic"
   Just Like Heaven (2005),just like heaven,"Comedy, Drama, Fantasy","acoustic,piano,folk,ambient,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,alternative,world-music,indie"
   Love and Death (1975),love and death,"Comedy, War","punk,patriotic,alternative,soundtrack,rock,metal,world-music"
   Rock Dog,rock dog,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Awakenings (1990),awakenings,"Biography, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   The Adventures of Pinocchio (1996),the adventures of pinocchio,"Adventure, Drama, Family","acoustic,indie,folk,ambient,piano,upbeat,children,pop,singer-songwriter,indie-pop,kids,new-age,alternative,world-music,rock,fun"
   An Awfully Big Adventure (1995),an awfully big adventure,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Down to you,down to you,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Kopps (2003),kopps,"Action, Comedy","punk,dubstep,hard-rock,drum-and-bass,rock,metal,electronic"
   The Dressmaker (2015),the dressmaker,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Dark Maidens (2017),the dark maidens,"Drama, Mystery","acoustic,piano,chill,ambient,singer-songwriter,synthwave,rock,indie-pop,downtempo,alternative,dark-ambient,trip-hop,electronic,indie"
   Igor,igor,"Animation, Comedy, Family","folk,children,pop,singer-songwriter,kids,upbeat,fun"
   Rover Dangerfield,rover dangerfield,"Animation, Comedy, Family","folk,children,pop,singer-songwriter,kids,upbeat,fun"
   Jack Frost (1979),jack frost,"Comedy, Drama, Family","acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
   Possession (1981),possession,"Drama, Horror","acoustic,darkwave,piano,ambient,metal,singer-songwriter,rock,indie-pop,noise,alternative,dark-ambient,electronic,indie,industrial"
   No reservations (2007),no reservations,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Fahrenheit 451 (1966),fahrenheit 451,"Drama, Sci-Fi, Thriller","acoustic,piano,ambient,dubstep,synth-pop,singer-songwriter,synthwave,retro,rock,indie-pop,space,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
   Dave Made a Maze,dave made a maze,"Adventure, Comedy, Fantasy","acoustic,folk,ambient,epic-fantasy,soundtrack,new-age,alternative,world-music,rock"
   Delibal,delibal,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Raya and the Last Dragon (2021),raya and the last dragon,"Animation, Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   The Man Who Knew Infinity (2015),the man who knew infinity,"Biography, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   Goosebumps (2015),goosebumps,"Adventure, Comedy, Fantasy","acoustic,folk,ambient,epic-fantasy,soundtrack,new-age,alternative,world-music,rock"
   The Big Sick (2017),the big sick,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Superintelligence (2020),superintelligence,"Action, Comedy, Romance","folk,punk,r-n-b,dubstep,hard-rock,romantic,pop,singer-songwriter,drum-and-bass,rock,metal,electronic,indie,soul"
   Your Highness (2011),your highness,"Action, Adventure, Comedy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   The Wicker Man ( 1973),the wicker man,"Horror, Mystery, Thriller","darkwave,chill,ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Judy Moody and the Not Bummer Summer,judy moody and the not bummer summer,"Comedy, Family","folk,children,pop,singer-songwriter,kids,upbeat,fun"
   The Thirteenth Floor,the thirteenth floor,"Mystery, Sci-Fi, Thriller","ambient,dubstep,synth-pop,retro,synthwave,downtempo,space,drum-and-bass,dark-ambient,chill,electronic,trip-hop"
   Dumbo (2019),dumbo,"Adventure, Family, Fantasy","acoustic,folk,ambient,upbeat,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,new-age,alternative,world-music,rock,fun"
   The Machine (2013),the machine,"Action, Drama, Sci-Fi","piano,indie-pop,rock,dubstep,synth-pop,singer-songwriter,synthwave,retro,acoustic,ambient,hard-rock,space,metal,chill,electronic,punk,drum-and-bass,alternative,indie"
   You're Next,you're next,"Horror, Thriller","darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   The Stepford Wives (2004),the stepford wives,"Comedy, Horror, Sci-Fi","darkwave,ambient,synth-pop,retro,synthwave,space,dark-ambient,noise,metal,chill,electronic,industrial"
   Five Feet Apart (2019),five feet apart,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Two Popes (2019),the two popes,"Biography, Comedy, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   The Master (2012),the master,"Action, Comedy, Crime","punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   Doctor Sleep (2019),doctor sleep,"Drama, Fantasy, Horror","acoustic,darkwave,piano,folk,ambient,metal,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,noise,alternative,dark-ambient,world-music,electronic,indie,industrial"
   The Neverending Story (1984),the neverending story,"Adventure, Drama, Family","acoustic,indie,folk,ambient,piano,upbeat,children,pop,singer-songwriter,indie-pop,kids,new-age,alternative,world-music,rock,fun"
   Beautiful Boy (2018),beautiful boy,"Biography, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   Mother! (2017),mother!,"Drama, Horror, Mystery","acoustic,darkwave,piano,ambient,chill,metal,singer-songwriter,synthwave,rock,indie-pop,downtempo,noise,alternative,dark-ambient,trip-hop,electronic,indie,industrial"
   Metropolis (1927),metropolis,"Drama, Sci-Fi","acoustic,piano,ambient,synth-pop,singer-songwriter,synthwave,retro,rock,indie-pop,space,alternative,chill,electronic,indie"
   Moonlight (2016),moonlight,Thriller,"ambient,dubstep,synthwave,drum-and-bass,dark-ambient,chill,electronic"
   The Danish Girl (2015),the danish girl,"Biography, Crime, Drama","acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Magic in the Moonlight (2014),magic in the moonlight,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Snow White and the Huntsman,snow white and the huntsman,"Action, Adventure, Drama","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   Sleepless in Seattle (1993),sleepless in seattle,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Minority Report ( 2002),minority report,"Action, Crime, Mystery","chill,punk,reggae,dubstep,hard-rock,ambient,synthwave,trap,downtempo,drum-and-bass,dark-ambient,grime,hip-hop,rock,metal,trip-hop,electronic"
   Rushmore (1998),rushmore,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   NaPolA (2004),napola,"Drama, Sport, Thriller","piano,edm,pop,indie-pop,pump-up,dubstep,singer-songwriter,synthwave,dark-ambient,acoustic,ambient,chill,electronic,alternative,drum-and-bass,hip-hop,rock,dance,indie"
   The Secret of Kells (2009),the secret of kells,"Animation, Adventure, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   Words on Bathroom Walls (2020),words on bathroom walls,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Man Who Killed Don Quixote (2018),the man who killed don quixote,"Adventure, Comedy, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   If I Stay (2014),if i stay,"Drama, Fantasy, Music","jazz,piano,funk,pop,epic-fantasy,soundtrack,indie-pop,folk,singer-songwriter,acoustic,ambient,world-music,alternative,blues,hip-hop,rock,r-n-b,indie,soul"
   12 Years a Slave (2013),12 years a slave,"Biography, Drama, History","acoustic,country,folk,piano,ambient,classical,pop,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
   The Witches (1990),the witches,"Adventure, Comedy, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   Misery (1990),misery,"Drama, History","acoustic,piano,ambient,classical,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
   The Theory of Everything (2014),the theory of everything,"Biography, Drama, Romance","acoustic,country,folk,piano,pop,romantic,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Hair (1979),hair,"Crime, Horror, Thriller","darkwave,reggae,ambient,dubstep,metal,synthwave,trap,drum-and-bass,grime,noise,hip-hop,dark-ambient,chill,electronic,industrial"
   Rampage (2018),rampage,"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Fantastic Four (2005),fantastic four,"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   papillon (1973),papillon,"Adventure, Biography, Crime","pop,indie-pop,rock,folk,dubstep,singer-songwriter,grime,acoustic,ambient,reggae,trap,new-age,world-music,electronic,country,drum-and-bass,hip-hop,alternative,indie"
   The King and I (1956),the king and i,"Biography, Drama, Musical","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,dance,r-n-b,indie,musical-theatre,soul"
   Crazy Little Thing Called Love (2010),crazy little thing called love,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Breathe (2017),breathe,"Biography, Drama, Romance","acoustic,country,folk,piano,pop,romantic,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Warcraft (2016),warcraft,"Action, Adventure, Fantasy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,new-age,rock,metal,world-music,electronic"
   The Boy,the boy,"Horror, Mystery, Thriller","darkwave,chill,ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Flubber (1997),flubber,"Comedy, Family, Sci-Fi","folk,ambient,chill,children,pop,synth-pop,singer-songwriter,synthwave,retro,kids,space,upbeat,electronic,fun"
   Ghajini,ghajini,"Action, Drama, Mystery","piano,downtempo,indie-pop,rock,dubstep,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,hard-rock,metal,chill,electronic,punk,drum-and-bass,alternative,indie"
   Collateral (2004),collateral,"Action, Crime, Drama","acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Powder (1995),powder,"Drama, Fantasy, Mystery","acoustic,piano,folk,ambient,chill,trip-hop,epic-fantasy,singer-songwriter,soundtrack,synthwave,rock,indie-pop,downtempo,alternative,dark-ambient,world-music,electronic,indie"
   Vivarium,vivarium,"Horror, Mystery, Sci-Fi","darkwave,chill,ambient,synth-pop,retro,synthwave,downtempo,space,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Somewhere in Time (1980),somewhere in time,"Drama, Fantasy, Romance","acoustic,piano,folk,ambient,romantic,epic-fantasy,singer-songwriter,soundtrack,pop,rock,indie-pop,alternative,world-music,r-n-b,indie,soul"
   The Party (2017),the party,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Flawless (1999),flawless,"Comedy, Fantasy, Romance","indie,folk,ambient,romantic,soundtrack,epic-fantasy,pop,singer-songwriter,alternative,world-music,r-n-b,rock,soul"
   About a Boy (2002),about a boy,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Knight Before Christmas (2019),the knight before christmas,"Adventure, Comedy, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   The 3rd Eye (2017),the 3rd eye,"Drama, Fantasy, Horror","acoustic,darkwave,piano,folk,ambient,metal,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,noise,alternative,dark-ambient,world-music,electronic,indie,industrial"
   I Origins (2014),i origins,"Drama, Mystery, Romance","piano,pop,downtempo,indie-pop,folk,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,chill,electronic,alternative,romantic,rock,r-n-b,indie,soul"
   Habibie & Ainun (2012),habibie & ainun,"Biography, Drama, Romance","acoustic,country,folk,piano,pop,romantic,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Promise (2016),the promise,"Action, Adventure, Drama","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   Pacific Heights (1990),pacific heights,Thriller,"ambient,dubstep,synthwave,drum-and-bass,dark-ambient,chill,electronic"
   Body Double (1984),body double,"Crime, Drama, Mystery","piano,downtempo,indie-pop,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   Splice,splice,"Horror, Sci-Fi","darkwave,ambient,synth-pop,retro,synthwave,space,dark-ambient,noise,metal,chill,electronic,industrial"
   The Girl with All the Gifts (2016),the girl with all the gifts,"Action, Adventure, Drama","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   Regression (2015),regression,"Adventure, Crime, Drama","acoustic,indie,folk,ambient,reggae,dubstep,piano,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,new-age,alternative,world-music,electronic,rock"
   The Long Goodbye (1973),the long goodbye,"Comedy, Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Countdown,countdown,"Action, Crime, Mystery","chill,punk,reggae,dubstep,hard-rock,ambient,synthwave,trap,downtempo,drum-and-bass,dark-ambient,grime,hip-hop,rock,metal,trip-hop,electronic"
   The Rabbi's Cat (2011),the rabbi's cat,"Animation, Comedy, Fantasy","folk,ambient,soundtrack,epic-fantasy,alternative,world-music,rock"
   Elizabeth (1998 - 2007),elizabeth,"Biography, Drama, History","acoustic,country,folk,piano,ambient,classical,pop,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
   The Endless,the endless,"Drama, Fantasy, Horror","acoustic,darkwave,piano,folk,ambient,metal,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,noise,alternative,dark-ambient,world-music,electronic,indie,industrial"
   Red Lights,red lights,"Drama, Fantasy, Mystery","acoustic,piano,folk,ambient,chill,trip-hop,epic-fantasy,singer-songwriter,soundtrack,synthwave,rock,indie-pop,downtempo,alternative,dark-ambient,world-music,electronic,indie"
   The Lodge,the lodge,"Drama, Horror, Mystery","acoustic,darkwave,piano,ambient,chill,metal,singer-songwriter,synthwave,rock,indie-pop,downtempo,noise,alternative,dark-ambient,trip-hop,electronic,indie,industrial"
   Brief Encounter(1945),brief encounter,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Equilibrium (2002),equilibrium,"Action, Drama, Sci-Fi","piano,indie-pop,rock,dubstep,synth-pop,singer-songwriter,synthwave,retro,acoustic,ambient,hard-rock,space,metal,chill,electronic,punk,drum-and-bass,alternative,indie"
   Into the Wild,into the wild,"Adventure, Biography, Drama","acoustic,indie,folk,ambient,country,piano,pop,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Beanpole (2019),beanpole,"Drama, War","acoustic,piano,punk,patriotic,soundtrack,singer-songwriter,rock,indie-pop,alternative,metal,world-music,indie"
   Fright Night,fright night,"Fantasy, Horror","darkwave,folk,ambient,metal,soundtrack,epic-fantasy,noise,alternative,dark-ambient,world-music,electronic,rock,industrial"
   Asako I & II (2018),asako i & ii,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Animal Farm (1954),animal farm,"Animation, Drama","acoustic,piano,singer-songwriter,rock,indie-pop,alternative,indie"
   2:22,2:22,"Drama, Mystery, Romance","piano,pop,downtempo,indie-pop,folk,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,chill,electronic,alternative,romantic,rock,r-n-b,indie,soul"
   Papillon (2017),papillon,"Adventure, Biography, Crime","pop,indie-pop,rock,folk,dubstep,singer-songwriter,grime,acoustic,ambient,reggae,trap,new-age,world-music,electronic,country,drum-and-bass,hip-hop,alternative,indie"
   A Woman Under the Influence,a woman under the influence,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Mosul (2019),mosul,"Action, Drama, War","acoustic,piano,punk,patriotic,dubstep,hard-rock,alternative,soundtrack,singer-songwriter,indie-pop,drum-and-bass,rock,metal,world-music,electronic,indie"
   Under The Skin,under the skin,"Drama, Horror, Mystery","acoustic,darkwave,piano,ambient,chill,metal,singer-songwriter,synthwave,rock,indie-pop,downtempo,noise,alternative,dark-ambient,trip-hop,electronic,indie,industrial"
   Black Beauty (2020),black beauty,"Adventure, Drama, Family","acoustic,indie,folk,ambient,piano,upbeat,children,pop,singer-songwriter,indie-pop,kids,new-age,alternative,world-music,rock,fun"
   Trash,trash,Action,"punk,dubstep,hard-rock,drum-and-bass,rock,metal,electronic"
   Bright Star (2009),bright star,"Biography, Drama, Romance","acoustic,country,folk,piano,pop,romantic,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Upside Down (2012),upside down,"Drama, Fantasy, Romance","acoustic,piano,folk,ambient,romantic,epic-fantasy,singer-songwriter,soundtrack,pop,rock,indie-pop,alternative,world-music,r-n-b,indie,soul"
   Charlie Wilson's War,charlie wilson's war,"Biography, Comedy, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   Call Me by Your Name (2017),call me by your name,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Pokémon: Detective Pikachu (2019),pokémon: detective pikachu,"Action, Adventure, Comedy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   The Princess Bride (1987),the princess bride,"Adventure, Family, Fantasy","acoustic,folk,ambient,upbeat,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,new-age,alternative,world-music,rock,fun"
   Ex Machina (2014),ex machina,"Drama, Sci-Fi, Thriller","acoustic,piano,ambient,dubstep,synth-pop,singer-songwriter,synthwave,retro,rock,indie-pop,space,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
   The Craft (1996),the craft,"Drama, Fantasy, Horror","acoustic,darkwave,piano,folk,ambient,metal,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,noise,alternative,dark-ambient,world-music,electronic,indie,industrial"
   Jaws (1975),jaws,"Adventure, Thriller","acoustic,folk,ambient,chill,dubstep,synthwave,drum-and-bass,new-age,alternative,dark-ambient,world-music,electronic,rock"
   Oldboy (2003),oldboy,"Action, Drama, Mystery","piano,downtempo,indie-pop,rock,dubstep,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,hard-rock,metal,chill,electronic,punk,drum-and-bass,alternative,indie"
   Fear and Loathing in Las Vegas (1998),fear and loathing in las vegas,"Adventure, Comedy, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Death Note (2017),death note,"Crime, Drama, Fantasy","piano,epic-fantasy,soundtrack,indie-pop,folk,dubstep,singer-songwriter,grime,acoustic,reggae,ambient,trap,world-music,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   Naked (1993),naked,"Comedy, Fantasy, Romance","indie,folk,ambient,romantic,soundtrack,epic-fantasy,pop,singer-songwriter,alternative,world-music,r-n-b,rock,soul"
   Zodiac (2007),zodiac,"Crime, Drama, Mystery","piano,downtempo,indie-pop,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
"  Good Morning, Vietnam (1987)","good morning, vietnam","Biography, Comedy, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   Roman Holiday (1953),roman holiday,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Gravity (2013),gravity,"Drama, Sci-Fi, Thriller","acoustic,piano,ambient,dubstep,synth-pop,singer-songwriter,synthwave,retro,rock,indie-pop,space,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
   Edge of Tomorrow (2014),edge of tomorrow,"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   The Babadook (2014),the babadook,"Horror, Mystery","darkwave,chill,ambient,synthwave,downtempo,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Escape Room (2019),escape room,"Action, Adventure, Horror","acoustic,darkwave,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,dark-ambient,noise,new-age,rock,metal,world-music,electronic,industrial"
   1408,1408,"Fantasy, Horror, Mystery","darkwave,folk,ambient,chill,metal,trip-hop,soundtrack,epic-fantasy,synthwave,downtempo,noise,alternative,dark-ambient,world-music,electronic,rock,industrial"
   L.A. Confidential (1997),l.a. confidential,"Crime, Drama, Mystery","piano,downtempo,indie-pop,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   Stranger than Fiction (2006),stranger than fiction,"Action, Drama","acoustic,piano,punk,dubstep,hard-rock,alternative,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie"
   The Jungle Book (2016),the jungle book,"Adventure, Drama, Family","acoustic,indie,folk,ambient,piano,upbeat,children,pop,singer-songwriter,indie-pop,kids,new-age,alternative,world-music,rock,fun"
   Paul (2011),paul,"Adventure, Comedy, Sci-Fi","acoustic,folk,ambient,chill,synth-pop,retro,synthwave,space,new-age,alternative,world-music,electronic,rock"
   The Devil's Rejects (2005),the devil's rejects,"Crime, Horror, Western","darkwave,folk,dubstep,grime,noise,dark-ambient,acoustic,reggae,ambient,bluegrass,trap,metal,electronic,country,alternative,blues,drum-and-bass,hip-hop,rock,industrial"
   The Cable Guy ( 1996),the cable guy,"Comedy, Drama, Thriller","acoustic,piano,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
   Scary Stories to Tell in the Dark (2019),scary stories to tell in the dark,"Adventure, Horror, Mystery","acoustic,darkwave,folk,ambient,chill,metal,trip-hop,synthwave,downtempo,noise,new-age,alternative,dark-ambient,world-music,electronic,rock,industrial"
   Con Air,con air,"Action, Crime, Thriller","punk,reggae,dubstep,hard-rock,ambient,synthwave,trap,drum-and-bass,dark-ambient,grime,hip-hop,rock,metal,chill,electronic"
   Two Weeks Notice (2002),two weeks notice,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Escape Plan (2013),escape plan,"Action, Thriller","punk,ambient,dubstep,hard-rock,synthwave,drum-and-bass,dark-ambient,rock,metal,chill,electronic"
   Cinema Paradiso (1988),cinema paradiso,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Maurice (1987),maurice,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Sword Art Online The Movie: Ordinal Scale (2017),sword art online the movie: ordinal scale,"Animation, Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Tomorrowland,tomorrowland,"Action, Adventure, Family","pop,upbeat,rock,folk,dubstep,singer-songwriter,kids,acoustic,ambient,hard-rock,new-age,metal,world-music,electronic,fun,punk,children,drum-and-bass,alternative"
